pair,entry_time,entry_price,stake,amount,score,cats,tag,triggered,max_rate,peak_profit_pct,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours,version
HMSTR_USDT,2026-06-27 14:10:00+00:00,0.0001834,1.0,5441.657579062159,90.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D1,D2,",0.0001874,2.1810250817884342,2026-06-28 06:05:00+00:00,0.0001777,time_dud,-3.1079607415485295,-0.03301744820065433,15.916666666666666,v1_base
NAORIS_USDT,2026-06-27 21:10:00+00:00,0.04051,1.0,24.635892372253767,70.0,4,demon_buy,"A1,A3,B1,B2,D2,",0.04067,0.39496420636879886,2026-06-28 09:10:00+00:00,0.0389,time_dud,-3.9743273265860295,-0.04166378671932858,12.0,v1_base
EPIC_USDT,2026-06-27 23:20:00+00:00,0.4601,1.0,2.169093675287981,70.0,4,demon_buy,"A2,B1,B2,C2,D2,",0.4608,0.15214083894805008,2026-06-28 11:20:00+00:00,0.4434,time_dud,-3.629645729189305,-0.03822386437730918,12.0,v1_base
WAL_USDT,2026-06-28 06:05:00+00:00,0.03303,1.0,30.214956100514687,80.0,4,demon_strong,"A1,A3,B1,C2,D1,D2,",0.03399,2.9064486830154483,2026-06-28 20:50:00+00:00,0.03203,time_dud,-3.027550711474399,-0.0322149561005145,14.75,v1_base
PLUME_USDT,2026-06-28 09:10:00+00:00,0.010081,1.0,98.99811526634262,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.010081,0.0,2026-06-28 21:45:00+00:00,0.009716,time_dud,-3.6206725523261483,-0.03813431207221496,12.583333333333334,v1_base
SENT_USDT,2026-06-28 11:20:00+00:00,0.01341,1.0,74.4220730797912,76.0,4,demon_buy,"A2,A3,B1,B2,D2,",0.01341,0.0,2026-06-28 23:20:00+00:00,0.01298,time_dud,-3.2065622669649505,-0.03400149142431019,12.0,v1_base
VELVET_USDT,2026-06-28 01:25:00+00:00,1.61004,1.0,0.6198603761397232,84.0,4,demon_strong,"A1,A3,B1,B2,C2,D1,D2,",2.07214,28.701150281980585,2026-06-29 03:40:00+00:00,1.86251,pullback,15.680976870139885,0.15449614916399623,26.25,v1_base
H_USDT,2026-06-28 20:50:00+00:00,0.06351,1.0,15.714060777830264,74.0,4,demon_buy,"A1,A3,B1,B2,C2,D2,",0.06351,0.0,2026-06-29 08:50:00+00:00,0.05956,time_dud,-6.219492993229406,-0.0640705400724294,12.0,v1_base
WARD_USDT,2026-06-29 08:50:00+00:00,0.007377,1.0,135.2853463467534,86.0,4,demon_strong,"A1,A2,A3,B1,B2,D1,D2,",0.009769,32.42510505625593,2026-06-29 17:10:00+00:00,0.0087,pullback,17.934119560797065,0.17698251321675484,8.333333333333334,v1_base
ORDI_USDT,2026-06-29 01:10:00+00:00,3.221,1.0,0.30984166407947844,74.0,4,demon_buy,"B1,B2,C2,D1,D2,",4.346,34.92704129152437,2026-06-29 20:00:00+00:00,3.869,pullback,20.11797578391804,0.19877739832350216,18.833333333333332,v1_base
PYTH_USDT,2026-06-29 03:40:00+00:00,0.03591,1.0,27.791701475912003,90.0,4,demon_strong,"A1,A2,A3,B1,B2,C2,D1,D2,",0.03771,5.012531328320811,2026-06-30 03:40:00+00:00,0.03625,time_stale,0.9468114731272628,0.007449178501810261,24.0,v1_base
TROLL_USDT,2026-06-29 17:10:00+00:00,0.053,1.0,18.830188679245282,82.0,4,demon_strong,"A1,A2,A3,B1,B2,D2,",0.05716,7.849056603773592,2026-06-30 05:10:00+00:00,0.05049,time_dud,-4.7358490566037705,-0.049263773584905635,12.0,v1_base
VELVET_USDT,2026-06-30 03:40:00+00:00,1.70694,1.0,0.5846719861272218,84.0,4,demon_strong,"A1,A3,B1,B2,C2,D1,D2,",1.756,2.8741490620642853,2026-06-30 09:40:00+00:00,1.54628,time_sharp_drop,-9.412164458036006,-0.09593340129119943,6.0,v1_base
BEAT_USDT,2026-06-28 23:10:00+00:00,2.6786,1.0,0.37258269245128056,65.0,4,demon_buy,"A1,A3,B1,B2,C2,D2,",2.8771,7.41058762039872,2026-06-30 15:05:00+00:00,2.6862,time_stale,0.28373030687672857,0.000831628462629963,39.916666666666664,v1_base
TRADOOR_USDT,2026-06-30 05:40:00+00:00,0.4323,1.0,2.3085820032384916,76.0,4,demon_buy,"A1,A2,A3,B2,D2,",0.4416,2.151283830673138,2026-06-30 17:40:00+00:00,0.4139,time_dud,-4.2563034929447205,-0.044477908859588355,12.0,v1_base
DEXE_USDT,2026-06-29 20:00:00+00:00,23.073,1.0,0.043254019850041174,74.0,4,demon_buy,"A1,A2,A3,B2,C2,D2,",23.385,1.3522298790794485,2026-06-30 20:00:00+00:00,22.916,time_stale,-0.6804490096649766,-0.008790881116456428,24.0,v1_base
USELESS_USDT,2026-06-30 15:05:00+00:00,0.08313,1.0,12.005292914711898,84.0,4,demon_strong,"A1,A2,A3,B2,C2,D1,D2,",0.08918,7.277757728858416,2026-07-01 00:15:00+00:00,0.07614,time_sharp_drop,-8.408516780945503,-0.08591699747383619,9.166666666666666,v1_base
