pair,entry_time,entry_price,stake,amount,score,rules_triggered,signal_tag,max_rate,peak_profit_pct,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours
ZK_USDT,2026-06-26 20:00:00+00:00,0.01047,1.0,95.31996179560649,75.0,4.0,moji_strong,0.01056,0.8595988538681929,2026-06-27 08:00:00+00:00,0.01036,stale_half_day,-1.0506208213944672,-0.012485195797516724,12.0
NAORIS_USDT,2026-06-26 14:00:00+00:00,0.03822,1.0,26.1119832548404,75.0,4.0,moji_strong,0.04195,9.759288330716915,2026-06-27 10:50:00+00:00,0.03792,stale_half_day,-0.784929356357914,-0.009833594976451976,20.833333333333332
LAB_USDT,2026-06-25 20:00:00+00:00,17.946,1.0,0.055611278279282285,75.0,5.0,moji_strong,20.792,15.858687172628997,2026-06-27 12:00:00+00:00,17.858,stale_half_day,-0.49035996879528004,-0.006893792488576911,40.0
MYX_USDT,2026-06-27 04:00:00+00:00,0.10182,1.0,9.801610685523473,75.0,5.0,moji_strong,0.1136,11.569436260066798,2026-06-27 12:45:00+00:00,0.09802,dud_early,-3.7320762129247678,-0.03924612060498922,8.75
VELVET_USDT,2026-06-27 10:00:00+00:00,1.18667,1.0,0.84100887357058,100.0,5.0,moji_strong,1.47039,23.908921604152816,2026-06-27 14:15:00+00:00,1.30943,pullback_exit,10.344914761475406,0.10124224931952464,4.25
SIREN_USDT,2026-06-26 02:00:00+00:00,0.07998,1.0,12.478119529882472,75.0,5.0,moji_strong,0.10815,35.22130532633159,2026-06-27 17:15:00+00:00,0.09689,pullback_exit,21.14278569642412,0.20900500125031263,39.25
VIRTUAL_USDT,2026-06-27 16:00:00+00:00,0.549,1.0,1.8178506375227685,85.0,5.0,moji_strong,0.5506,0.2914389799635582,2026-06-28 00:00:00+00:00,0.5305,dud_early,-3.369763205828792,-0.03563023679417132,8.0
VELVET_USDT,2026-06-28 00:00:00+00:00,1.53537,1.0,0.6500061874336479,100.0,5.0,moji_strong,1.54046,0.3315161817672639,2026-06-28 00:45:00+00:00,1.34115,stoploss,-12.649719611559417,-0.12824420172336304,0.75
HMSTR_USDT,2026-06-27 14:00:00+00:00,0.0001825,1.0,5468.493150684932,100.0,5.0,moji_strong,0.0001874,2.684931506849321,2026-06-28 02:20:00+00:00,0.0001821,stale_half_day,-0.21917808219177132,-0.004187397260273951,12.333333333333334
SLX_USDT,2026-06-27 18:00:00+00:00,0.54539,1.0,1.82988320284567,75.0,6.0,moji_strong,0.6379,16.96217385723977,2026-06-28 02:35:00+00:00,0.52276,dud_early,-4.1493243367131845,-0.04341025688039768,8.583333333333334
TRADOOR_USDT,2026-06-27 06:00:00+00:00,0.4229,1.0,2.359895956490896,85.0,5.0,moji_strong,0.4704,11.23196973279735,2026-06-28 02:55:00+00:00,0.4213,stale_half_day,-0.3783400331047506,-0.005775833530385466,20.916666666666668
AIN_USDT,2026-06-27 12:00:00+00:00,0.08272,1.0,12.064796905222437,100.0,7.0,moji_strong,0.08968,8.413926499032874,2026-06-28 03:30:00+00:00,0.08256,stale_half_day,-0.19342359767892572,-0.0039303675048356634,15.5
XPL_USDT,2026-06-25 14:00:00+00:00,0.0915,1.0,10.907103825136613,75.0,4.0,moji_strong,0.10999,20.20765027322405,2026-06-28 06:05:00+00:00,0.09896,pullback_exit,8.153005464480884,0.0793669945355191,64.08333333333333
W_USDT,2026-06-26 10:00:00+00:00,0.009411,1.0,106.04611624694508,85.0,4.0,moji_strong,0.011002,16.90574859207311,2026-06-28 10:00:00+00:00,0.009752,medium_2d,3.623419402826491,0.03416172564020825,48.0
