symbol,entry_time,entry_price,stake,amount,score,rules,tag,max_rate,peak_profit,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours,peak_profit_pct
AIOT_USDT,2026-06-24 23:10:00+00:00,0.0528,1.0,18.901515151515152,50.0,2,moji_weak,0.05402,0.023106060606060585,2026-06-25 06:00:00+00:00,0.05001,dud_early,-5.28409090909091,-0.05473522727272728,6.833333333333333,2.3106060606060583
USDC_USDT,2026-06-24 06:25:00+00:00,1.0011,1.0,0.9969034062531215,100.0,4,moji_strong,1.0015,0.00039956048346814093,2026-06-25 06:25:00+00:00,1.0012,stale_dud,0.009989012086703523,-0.0019003096593745994,24.0,0.03995604834681409
EDGEX_USDT,2026-06-24 22:50:00+00:00,0.383,1.0,2.6057441253263707,115.0,5,moji_strong,0.383,0.0,2026-06-25 06:25:00+00:00,0.3634,dud_early,-5.117493472584858,-0.053072584856396876,7.583333333333333,0.0
CHEEL_USDT,2026-06-24 20:30:00+00:00,0.3734,1.0,2.6727370112479916,100.0,4,moji_strong,0.3734,0.0,2026-06-25 08:30:00+00:00,0.3699,stale_half_day,-0.9373326191751481,-0.011354579539367915,12.0,0.0
LIGHT_USDT,2026-06-25 01:00:00+00:00,0.12893,1.0,7.740634452803848,135.0,6,moji_strong,0.13273,0.029473357635926456,2026-06-25 08:55:00+00:00,0.12229,dud_early,-5.1500814395408305,-0.05339781276661748,7.916666666666667,2.947335763592646
JTO_USDT,2026-06-25 01:35:00+00:00,0.698,1.0,1.4297994269340975,115.0,5,moji_strong,0.6985,0.0007163323782235759,2026-06-25 09:25:00+00:00,0.6624,dud_early,-5.1002865329512845,-0.05290085959885382,7.833333333333333,0.07163323782235759
PEAQ_USDT,2026-06-24 22:35:00+00:00,0.022006,1.0,45.35126783604471,135.0,6,moji_strong,0.022018,0.0005453058256838191,2026-06-25 10:35:00+00:00,0.021415,stale_half_day,-2.6856311914932345,-0.028802599291102404,12.0,0.05453058256838191
AERO_USDT,2026-06-24 21:35:00+00:00,0.5195,1.0,1.921077959576516,135.0,6,moji_strong,0.5345,0.028873917228103972,2026-06-25 10:45:00+00:00,0.5174,stale_half_day,-0.40423484119345354,-0.0060342637151106215,13.166666666666666,2.8873917228103974
BAS_USDT,2026-06-25 09:00:00+00:00,0.052954,1.0,18.846546058843526,115.0,5,moji_strong,0.055023,0.03907164708992713,2026-06-25 11:00:00+00:00,0.048698,stoploss,-8.037164331306421,-0.08221090002643816,2.0,3.907164708992713
FET_USDT,2026-06-24 20:45:00+00:00,0.1719,1.0,5.805700988947063,50.0,2,moji_weak,0.1778,0.03432228039557892,2026-06-25 12:15:00+00:00,0.1713,stale_half_day,-0.3490401396160497,-0.005483420593368149,15.5,3.432228039557892
