symbol,entry_time,entry_price,stake,amount,score,layers,max_rate,peak_profit_pct,signal_tag,exit_time,exit_price,exit_reason,profit_pct,net_profit_usd,hold_hours
OPN_USDT,2026-06-27 23:00:00+00:00,0.06214,1.0,16.060508529127777,502.15323527421265,"(np.True_, np.True_, np.True_)",0.06921,11.37753459929191,v4_l111,2026-06-29 06:30:00+00:00,0.06226,stale_dud,0.1931123270035437,-7.273897650461603e-05,31.5
SLX_USDT,2026-06-28 21:00:00+00:00,0.59059,1.0,1.689835588140673,682.6871117560825,"(np.True_, np.True_, np.True_)",0.66132,11.976159433786565,v4_l111,2026-06-29 08:30:00+00:00,0.54841,dud_early,-7.1420105318410405,-0.07327726510777355,11.5
GWEI_USDT,2026-06-28 13:00:00+00:00,0.14658,1.0,6.8085686996861785,1525.7066424677887,"(np.True_, np.True_, np.True_)",0.22516,53.60895074362124,v4_l111,2026-06-29 10:15:00+00:00,0.20015,pullback_exit,36.54659571565016,0.3627350252421886,21.25
AAVE_USDT,2026-06-28 23:00:00+00:00,91.25,1.0,0.010936986301369862,193.68404612386598,"(np.True_, np.True_, np.True_)",94.66,3.736986301369859,v4_l111,2026-06-29 13:45:00+00:00,91.23,stale_half_day,-0.02191780821917372,-0.0022187397260273745,14.75
LIGHT_USDT,2026-06-29 11:00:00+00:00,0.12822,1.0,7.783497114334737,1061.743828594771,"(np.True_, np.True_, np.True_)",0.12822,0.0,v4_l111,2026-06-29 19:00:00+00:00,0.12005,dud_early,-6.371860864139757,-0.06559117142411475,8.0
HIGH_USDT,2026-06-29 05:00:00+00:00,0.03644,1.0,27.38748627881449,819.6311846151989,"(np.True_, np.True_, np.True_)",0.0456,25.137211855104287,v4_l111,2026-06-30 00:25:00+00:00,0.04115,pullback_exit,12.92535675082327,0.12699506037321617,19.416666666666668
TAG_USDT,2026-06-29 09:00:00+00:00,0.0009886,1.0,1009.5083957111066,1169.4105405939715,"(np.True_, np.True_, np.True_)",0.0011023,11.501112684604491,v4_l111,2026-06-30 00:30:00+00:00,0.0009885,stale_half_day,-0.010115314586289363,-0.0021009508395711807,15.5
TIA_USDT,2026-06-29 13:00:00+00:00,0.3984,1.0,2.505020080321285,392.0320042685661,"(np.True_, np.True_, np.True_)",0.4034,1.2550200803212863,v4_l111,2026-06-30 01:00:00+00:00,0.39,stale_half_day,-2.1084337349397497,-0.02304216867469877,12.0
ENSO_USDT,2026-06-29 19:00:00+00:00,0.6626,1.0,1.5061877452460006,1158.2245764577196,"(np.True_, np.True_, np.True_)",0.6666,0.6036824630244497,v4_l111,2026-06-30 03:00:00+00:00,0.6242,dud_early,-5.79535164503471,-0.059837609417446425,8.0
BABY_USDT,2026-06-29 07:00:00+00:00,0.01312,1.0,76.0670731707317,404.8300907800227,"(np.True_, np.True_, np.True_)",0.01399,6.631097560975617,v4_l111,2026-06-30 03:50:00+00:00,0.013112,stale_half_day,-0.06097560975609243,-0.0026085365853658615,20.833333333333332
