pair,entry_time,exit_time,entry_price,exit_price,profit_pct,profit_usd,hold_hours,max_profit_pct,max_adverse_pct,exit_reason,entry_tag
OPN/USDT,2026-06-28T09:05:00+00:00,2026-06-28T15:30:00+00:00,0.06903,0.06903,-0.4,-0.004,6.416666666666667,10.41266794625717,0.26075619295957697,stop_or_ratchet,inverse_breakout_short
SPX/USDT,2026-06-27T15:40:00+00:00,2026-06-28T21:45:00+00:00,0.3477,0.334,3.5480586712683206,0.035480586712683206,30.083333333333332,4.1017964071856206,0.6614897900488748,time_take_profit,inverse_breakout_short
ROBO/USDT,2026-06-28T07:10:00+00:00,2026-06-29T07:10:00+00:00,0.017913,0.016854,5.5237313682800036,0.055237313682800035,24.0,7.4565086982603335,1.8757327080891173,time_take_profit,inverse_breakout_short
FARTCOIN/USDT,2026-06-29T01:45:00+00:00,2026-06-29T10:25:00+00:00,0.13685,0.142324,-4.408000000000004,-0.044080000000000036,8.666666666666666,4.020979020979021,4.888564121300698,stop_or_ratchet,inverse_breakout_short
B2/USDT,2026-06-29T07:45:00+00:00,2026-06-29T12:00:00+00:00,0.5433,0.565032,-4.408000000000004,-0.044080000000000036,4.25,0.0,4.141358365543901,stop_or_ratchet,inverse_breakout_short
ZORA/USDT,2026-06-28T13:30:00+00:00,2026-06-29T13:30:00+00:00,0.007822,0.007239,7.068243416006152,0.07068243416006152,24.0,10.527059488483825,0.0,time_take_profit,inverse_breakout_short
OPN/USDT,2026-06-28T15:35:00+00:00,2026-06-29T15:35:00+00:00,0.0692,0.06374,7.50595375722542,0.0750595375722542,24.0,11.955994175699725,0.0,time_take_profit,inverse_breakout_short
ORDI/USDT,2026-06-29T15:30:00+00:00,2026-06-29T15:40:00+00:00,3.819,3.97176,-4.408000000000015,-0.04408000000000015,0.16666666666666666,0.05239717055278703,4.215763288819074,stop_or_ratchet,inverse_breakout_short
ENSO/USDT,2026-06-29T16:00:00+00:00,2026-06-29T16:50:00+00:00,0.6331,0.658424,-4.408000000000004,-0.044080000000000036,0.8333333333333334,0.0,4.090980887695461,stop_or_ratchet,inverse_breakout_short
H/USDT,2026-06-29T16:20:00+00:00,2026-06-29T17:50:00+00:00,0.0672,0.06988799999999999,-4.407999999999992,-0.044079999999999925,1.5,2.736584620088678,4.508928571428572,stop_or_ratchet,inverse_breakout_short
H/USDT,2026-06-29T18:30:00+00:00,2026-06-29T19:10:00+00:00,0.07299,0.07590960000000001,-4.408000000000004,-0.044080000000000036,0.6666666666666666,2.3846261747790587,4.301959172489389,stop_or_ratchet,inverse_breakout_short
COAI/USDT,2026-06-29T12:15:00+00:00,2026-06-29T21:55:00+00:00,0.3086,0.3086,-0.4000000000000111,-0.004000000000000111,9.666666666666666,14.508348794063064,5.314322747893718,stop_or_ratchet,inverse_breakout_short
KAS/USDT,2026-06-29T18:35:00+00:00,2026-06-30T00:05:00+00:00,0.02945,0.03058,-4.24468590831919,-0.0424468590831919,5.5,0.3749147920927065,3.837011884550079,failed_short,inverse_breakout_short
BTR/USDT,2026-06-28T13:30:00+00:00,2026-06-30T01:30:00+00:00,0.01996,0.01989,-0.048597194388791135,-0.0004859719438879114,36.0,7.6591154261057115,2.8056112224448926,max_hold,inverse_breakout_short
TAG/USDT,2026-06-29T11:30:00+00:00,2026-06-30T11:30:00+00:00,0.00107,0.0009849,7.569177570093453,0.07569177570093454,24.0,10.491532424617933,3.7663551401869277,time_take_profit,inverse_breakout_short
VVV/USDT,2026-06-29T19:30:00+00:00,2026-06-30T19:30:00+00:00,13.7603,12.3804,9.648180635596614,0.09648180635596613,24.0,12.96156435220912,0.2710696714461003,time_take_profit,inverse_breakout_short
CYS/USDT,2026-06-30T20:10:00+00:00,2026-06-30T20:35:00+00:00,0.3637,0.37824800000000003,-4.408000000000004,-0.044080000000000036,0.4166666666666667,1.393922497909128,6.048941435248811,stop_or_ratchet,inverse_breakout_short
HIGH/USDT,2026-06-29T22:40:00+00:00,2026-06-30T22:40:00+00:00,0.04535,0.03681,18.468974641675846,0.18468974641675848,24.0,29.831090752934443,0.0,time_take_profit,inverse_breakout_short
BSV/USDT,2026-07-01T00:05:00+00:00,2026-07-01T03:25:00+00:00,13.08,13.603200000000001,-4.408000000000015,-0.04408000000000015,3.3333333333333335,1.631701631701632,7.18654434250765,stop_or_ratchet,inverse_breakout_short
DYDX/USDT,2026-07-01T04:00:00+00:00,2026-07-01T04:05:00+00:00,0.20705,0.21533200000000002,-4.408000000000004,-0.044080000000000036,0.08333333333333333,0.0,11.37406423569185,stop_or_ratchet,inverse_breakout_short
MEGA/USDT,2026-06-30T04:30:00+00:00,2026-07-01T04:30:00+00:00,0.05098,0.04668,8.051549627304842,0.08051549627304842,24.0,15.313277539018323,1.8438603373872153,time_take_profit,inverse_breakout_short
KGEN/USDT,2026-06-30T09:15:00+00:00,2026-07-01T09:15:00+00:00,0.22335,0.19507,12.287065144392221,0.1228706514439222,24.0,16.47371714643302,2.6012984105663772,time_take_profit,inverse_breakout_short
EPIC/USDT,2026-07-01T10:15:00+00:00,2026-07-01T11:05:00+00:00,0.4504,0.46841600000000005,-4.408000000000004,-0.044080000000000036,0.8333333333333334,1.0318528488111323,5.284191829484897,stop_or_ratchet,inverse_breakout_short
BAS/USDT,2026-07-01T12:00:00+00:00,2026-07-01T12:20:00+00:00,0.054886,0.05708144,-4.408000000000004,-0.044080000000000036,0.3333333333333333,0.5072423959420647,5.11423678169296,stop_or_ratchet,inverse_breakout_short
PRO/USDT,2026-06-30T12:40:00+00:00,2026-07-01T12:40:00+00:00,0.3703,0.346,6.175371320550917,0.06175371320550917,24.0,8.847736625514413,0.7831487982716601,time_take_profit,inverse_breakout_short
ADA/USDT,2026-07-01T04:30:00+00:00,2026-07-01T16:30:00+00:00,0.15236,0.15533,-2.353229194014176,-0.02353229194014176,12.0,2.4200053777897246,3.728012601732744,stale_no_followthrough,inverse_breakout_short
B/USDT,2026-07-01T18:10:00+00:00,2026-07-01T20:05:00+00:00,0.23273,0.2420392,-4.408000000000004,-0.044080000000000036,1.9166666666666667,0.605196040288769,6.471017917758792,stop_or_ratchet,inverse_breakout_short
VSN/USDT,2026-07-01T00:15:00+00:00,2026-07-02T00:15:00+00:00,0.03587,0.03268,8.511011987733486,0.08511011987733486,24.0,14.272061165976414,0.0,time_take_profit,inverse_breakout_short
